depth,age,upstream distance,,,,,surface elevation,,,,,thinning function,,,,,past accumulation rate,,,,
[m],[yr],[km],,,,,[m.a.s.l.],,,,,,,,,,[m/yr],,,,
,,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread
39,174.909417822742,24.9980289363926,23.6209258779976,20.8221469611306,23.1470339251736,2.32488696404298,2726.06503802173,2724.43363253219,2708.79942919493,2719.76603324962,10.9666040546914,0.12164967831013,0.0693172871263417,0.150130247119483,0.113699070851985,0.0443817837256431,0.130927258930981,0.123565204778453,0.135314852199673,0.129935771969702,0.00637056719124921
40,181.208211667777,25.4060168642363,24.028326300844,21.3213006163719,23.5852145938174,2.2639139774455,2726.61618629975,2725.01047131297,2710.35236281745,2720.65967347672,10.3073106592759,0.124864517402243,0.0712170614231948,0.153100163795783,0.116393914207074,0.0451768527838791,0.131408224539855,0.123817950592651,0.135789375654419,0.130338516928975,0.0065205663363238
41,187.888188325359,25.7129923121352,24.3388132869996,21.8204542716131,23.9574199569159,2.13696568530283,2726.75268028393,2725.18088937257,2711.90529643997,2721.27962203215,9.37432559218898,0.124265302220806,0.0708847709220586,0.154437013262133,0.116529028801666,0.0456442578796072,0.131318309405386,0.123773668110172,0.136004060967313,0.130365346160957,0.00659167805078448
42,194.478210313663,26.0199677600341,24.6493002731551,22.3196079268543,24.3296253200145,2.01001739316017,2726.88917426811,2725.35130743216,2713.45823006249,2721.89957058759,8.44134052510206,0.123666087039368,0.0705524804209225,0.155773862728483,0.116664143396258,0.0461116629753354,0.13122851723435,0.123729417290909,0.136219426197431,0.13039245357423,0.00666303628332126
43,200.590737799043,26.326943207933,24.9597872593107,22.8187615820956,24.7018306831131,1.88306910101751,2727.02566825229,2725.52172549176,2715.011163685,2722.51951914302,7.50835545801518,0.12306687185793,0.0702201899197864,0.157110712194833,0.11679925799085,0.0465790680710635,0.131138847774684,0.123685198100912,0.136435474579886,0.130419840151827,0.00673464205091485
44,206.905323551302,26.6339186558319,25.2702742454663,23.3179152373368,25.0740360462117,1.75612080887485,2727.16216223647,2725.69214355136,2716.56409730752,2723.13946769845,6.57537039092801,0.122467656676493,0.0698878994186502,0.158447561661183,0.116934372585442,0.0470464731667916,0.131049300775008,0.123641010506283,0.136652209370344,0.130447506883879,0.00680649637759524
45,213.688174684645,26.9408941037308,25.5807612316219,23.724000578614,25.4152186379889,1.6912180593749,2727.29865622065,2725.86256161096,2717.52260327419,2723.56127370193,6.03867042774625,0.121868441495055,0.0695556089175141,0.159784411127532,0.117069487180034,0.0475138782625198,0.130959875984633,0.123596854473171,0.136869633845196,0.130475454767666,0.00687860029449565
46,220.836207280832,27.2478695516297,25.8912482177775,24.0121108848889,25.7170762180987,1.70496533320977,2727.43515020483,2726.03297967056,2717.72760226818,2723.73191071452,6.00430844634131,0.121269226313617,0.069223318416378,0.161121260593882,0.117204601774626,0.0479812833582479,0.130870573153551,0.123552729967772,0.137087751301713,0.130503684807678,0.00695095483990654
47,228.561026911012,27.5548449995286,26.201735203933,24.3002211911638,26.0189337982085,1.71871260704464,2727.57164418901,2726.20339773016,2717.93260126218,2723.90254772712,5.96994646493625,0.12067001113218,0.0688910279152418,0.162458110060232,0.117339716369218,0.048448688453976,0.130781392032436,0.123508636956332,0.137306565058221,0.130532198015663,0.00702356105933082
48,236.051103268945,27.8618204474275,26.5122221900886,24.5883314974388,26.3207913783183,1.73245988087952,2727.70813817319,2726.37381578975,2718.13760025618,2724.07318473971,5.93558448353133,0.120070795950742,0.0685587374141057,0.163794959526582,0.11747483096381,0.0489160935497041,0.130692332372642,0.123464575405145,0.137526078454266,0.130560995410684,0.00709642000553905
49,244.319883474576,28.1687958953264,26.8227091762442,24.8764418037137,26.6226489584281,1.74620715471439,2727.84463215737,2726.54423384935,2718.34259925017,2724.2438217523,5.90122250212571,0.119471580769304,0.0682264469129695,0.165131808992931,0.117609945558402,0.0493834986454323,0.130603393926199,0.123420545280553,0.137746294850784,0.130590078019179,0.00716953273862533
50,252.062115112994,28.4534727978025,27.1301839030949,25.1645521099886,26.9160696036287,1.75151749364003,2727.88850304081,2726.69828404315,2718.54759824417,2724.37812844271,5.83053019854005,0.118872365587867,0.0678941564118334,0.166468658459281,0.117745060152994,0.0498509037411604,0.130514576445812,0.123376546548946,0.137967217630271,0.13061944687501,0.0073477707552612
